model_id,name,model_type,domain_id,category_id,version,description,schema_version,enabled_entity_types,enabled_relation_types,retrieval_filter,validation_profile,status
model:corporate:base,法人服务基础知识模型,DOMAIN_BASE,domain:corporate,,v1,法人服务共享基础模型,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:交通运输,法人服务-交通运输知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:交通运输,v1,面向法人服务“交通运输”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:交通运输""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:人力资源,法人服务-人力资源知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:人力资源,v1,面向法人服务“人力资源”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:人力资源""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:公安消防,法人服务-公安消防知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:公安消防,v1,面向法人服务“公安消防”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:公安消防""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:公用事业,法人服务-公用事业知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:公用事业,v1,面向法人服务“公用事业”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:公用事业""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:其他,法人服务-其他知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:其他,v1,面向法人服务“其他”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:其他""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:农林牧渔,法人服务-农林牧渔知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:农林牧渔,v1,面向法人服务“农林牧渔”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:农林牧渔""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:准营准办,法人服务-准营准办知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:准营准办,v1,面向法人服务“准营准办”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:准营准办""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:劳动保障,法人服务-劳动保障知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:劳动保障,v1,面向法人服务“劳动保障”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:劳动保障""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
model:corporate:医疗卫生,法人服务-医疗卫生知识模型,CATEGORY_PROFILE,domain:corporate,category:corporate:医疗卫生,v1,面向法人服务“医疗卫生”分类的知识模型 Profile,ZwdmxGJ-v0.3,"[""ServiceDomain"",""CategoryScheme"",""ServiceCategory"",""KnowledgeModel"",""GovernmentService"",""Department"",""Material"",""ServiceCondition"",""ProcessStep"",""ServiceResult"",""LegalBasis"",""LegalCitation"",""FAQ"",""ServiceChannel"",""Fee"",""Chunk"",""Proposition""]","[""belongsToDomain"",""belongsToScheme"",""parentCategory"",""appliesToCategory"",""extendsModel"",""classifiedAs"",""usesModel"",""handledBy"",""collaboratesWith"",""requiresMaterial"",""hasCondition"",""hasProcessStep"",""nextStep"",""producesResult"",""citesLegal"",""partOf"",""hasFaq"",""hasChannel"",""hasFee"",""belongsTo"",""hasChunk""]","{""domain_id"":""domain:corporate"",""category_id"":""category:corporate:医疗卫生""}","{""required"":[""serviceId"",""domainId"",""categoryId""]}",ACTIVE
